TAB,BATTERY,,,,,,,,,,,,,,,,,,,,,,,
SKILL TITTLE,GOLD HAMMER,,FAST TIME,,ENDURANCE,,CRITICAL CHANCE,,CRITICAL MULTIPLIER,,WORK EXPERIENCE,,ECONOMIST,,STRONG FRIENDSHIP,,INVESTOR,,ITEM MASTER,,SHARE PROFIT,,GOLD FRIENDS,
14,69894,"2,3",19026,13,21744,"5,9",54361,"0,66",54361,"1,49",34947,"6,50",34947,"2,60",23298,"1,30",23298,"1300,00",23298,"7,50",34947,"3,3",69894,28000
15,90863,"2,4",23212,14,26528,"6,2",66321,"0,71",66321,"1,52",45431,"7,00",45431,"2,80",30288,"1,40",30288,"1400,00",30288,"8,00",45431,"3,4",90863,29000
16,118121,"2,5",28319,15,32364,"6,5",80911,"0,76",80911,"1,55",59061,"7,50",59061,"3,00",39374,"1,50",39374,"1500,00",39374,"8,50",59061,"3,6",118121,30000
17,153558,"2,6",34549,16,39485,"6,8",98711,"0,81",98711,"1,58",76779,"8,00",76779,"3,20",51186,"1,60",51186,"1600,00",51186,"9,00",76779,"3,8",153558,31000
18,199625,"2,7",42150,17,48171,"7,1",120428,"0,86",120428,"1,61",99812,"8,50",99812,"3,40",66542,"1,70",66542,"1700,00",66542,"9,50",99812,"4,0",199625,32000
19,259512,"2,8",51423,18,58769,"7,4",146922,"0,91",146922,"1,64",129756,"9,00",129756,"3,60",86504,"1,80",86504,"1800,00",86504,"10,00",129756,"4,1",259512,33000
20,337366,"2,9",62736,19,71698,"7,7",179245,"0,96",179245,"1,67",168683,"9,50",168683,"3,80",112455,"1,90",112455,"1900,00",112455,"10,50",168683,"4,3",337366,34000
21,438576,"3,0",76538,20,87472,"8,0",218679,"1,01",218679,"1,70",219288,"10,00",219288,"4,00",146192,"2,00",146192,"2000,00",146192,"11,00",219288,"4,5",438576,35000
22,570149,"3,1",93376,21,106715,"8,3",266788,"1,06",266788,"1,73",285074,"10,50",285074,"4,20",190050,"2,10",190050,"2100,00",190050,"11,50",285074,"4,7",570149,36000
23,741194,"3,2",113919,22,130193,"8,6",325482,"1,11",325482,"1,76",370597,"11,00",370597,"4,40",247065,"2,20",247065,"2200,00",247065,"12,00",370597,"4,8",741194,37000
24,963552,"3,3",138981,23,158835,"8,9",397088,"1,16",397088,"1,79",481776,"11,50",481776,"4,60",321184,"2,30",321184,"2300,00",321184,"12,50",481776,"5,0",963552,38000
25,1252617,"3,4",169556,24,193779,"9,2",484447,"1,21",484447,"1,82",626309,"12,00",626309,"4,80",417539,"2,40",417539,"2400,00",417539,"13,00",626309,"5,2",1252617,39000
26,1628402,"3,5",206859,25,236410,"9,5",591025,"1,26",591025,"1,85",814201,"12,50",814201,"5,00",542801,"2,50",542801,"2500,00",542801,"13,50",814201,"5,4",1628402,40000
27,2116923,"3,6",252368,26,288420,"9,8",721051,"1,31",721051,"1,88",1058462,"13,00",1058462,"5,20",705641,"2,60",705641,"2600,00",705641,"14,00",1058462,"5,5",2116923,41000
28,2752000,"3,7",307889,27,351873,"10,1",879682,"1,36",879682,"1,91",1376000,"13,50",1376000,"5,40",917333,"2,70",917333,"2700,00",917333,"14,50",1376000,"5,7",2752000,42000
29,3577600,"3,8",375624,28,429285,"10,4",1073212,"1,41",1073212,"1,94",1788800,"14,00",1788800,"5,60",1192533,"2,80",1192533,"2800,00",1192533,"15,00",1788800,"5,9",3577600,43000
30,4650880,"3,9",458261,29,523727,"10,7",1309318,"1,46",1309318,"1,97",2325440,"14,50",2325440,"5,80",1550293,"2,90",1550293,"2900,00",1550293,"15,50",2325440,"6,0",4650880,44000
31,6046144,"4,0",559079,30,638947,"11,0",1597368,"1,51",1597368,"2,00",3023072,"15,00",3023072,"6,00",2015381,"3,00",2015381,"3000,00",2015381,"16,00",3023072,"6,2",6046144,45000
32,7859987,"4,1",682076,31,779516,"11,3",1948789,"1,56",1948789,"2,03",3929993,"15,50",3929993,"6,20",2619996,"3,10",2619996,"3100,00",2619996,"16,50",3929993,"6,4",7859987,46000
33,10217983,"4,2",832133,32,951009,"11,6",2377523,"1,61",2377523,"2,06",5108992,"16,00",5108992,"6,40",3405994,"3,20",3405994,"3200,00",3405994,"17,00",5108992,"6,6",10217983,47000
34,13283378,"4,3",1015202,33,1160231,"11,9",2900578,"1,66",2900578,"2,09",6641689,"16,50",6641689,"6,60",4427793,"3,30",4427793,"3300,00",4427793,"17,50",6641689,"6,7",13283378,48000
35,17268391,"4,4",1238547,34,1415482,"12,2",3538705,"1,71",3538705,"2,12",8634196,"17,00",8634196,"6,80",5756130,"3,40",5756130,"3400,00",5756130,"18,00",8634196,"6,9",17268391,49000
36,22448909,"4,5",1511027,35,1726888,"12,5",4317221,"1,76",4317221,"2,15",11224454,"17,50",11224454,"7,00",7482970,"3,50",7482970,"3500,00",7482970,"18,50",11224454,"7,1",22448909,50000
37,29183581,"4,6",1843453,36,2106804,"12,8",5267009,"1,81",5267009,"2,18",14591791,"18,00",14591791,"7,20",9727860,"3,60",9727860,"3600,00",9727860,"19,00",14591791,"7,3",,
38,37938656,"4,7",2249013,37,2570300,"13,1",6425751,"1,86",6425751,"2,21",18969328,"18,50",18969328,"7,40",12646219,"3,70",12646219,"3700,00",12646219,"19,50",18969328,"7,4",,
39,49320252,"4,8",2743796,38,3135767,"13,4",7839417,"1,91",7839417,"2,24",24660126,"19,00",24660126,"7,60",16440084,"3,80",16440084,"3800,00",16440084,"20,00",24660126,"7,6",,
40,64116328,"4,9",3347431,39,3825635,"13,7",9564088,"1,96",9564088,"2,27",32058164,"19,50",32058164,"7,80",21372109,"3,90",21372109,"3900,00",21372109,"20,50",32058164,"7,8",,
41,83351226,"5,0",4083866,40,4667275,"14,0",11668188,"2,01",11668188,"2,30",41675613,"20,00",41675613,"8,00",27783742,"4,00",27783742,"4000,00",27783742,"21,00",41675613,"8,0",,
42,108356594,"5,1",4982316,41,5694076,"14,3",14235189,"2,06",14235189,"2,33",54178297,"20,50",54178297,"8,20",36118865,"4,10",36118865,"4100,00",36118865,"21,50",54178297,"8,1",,
43,140863573,"5,2",6078426,42,6946772,"14,6",17366930,"2,11",17366930,"2,36",70431786,"21,00",70431786,"8,40",46954524,"4,20",46954524,"4200,00",46954524,"22,00",70431786,"8,3",,
44,183122645,"5,3",7415679,43,8475062,"14,9",21187655,"2,16",21187655,"2,39",91561322,"21,50",91561322,"8,60",61040882,"4,30",61040882,"4300,00",61040882,"22,50",91561322,"8,5",,
45,238059438,"5,4",9047129,44,10339576,"15,2",25848939,"2,21",25848939,"2,42",119029719,"22,00",119029719,"8,80",79353146,"4,40",79353146,"4400,00",79353146,"23,00",119029719,"8,7",,
46,309477269,"5,5",11037497,45,12614282,"15,5",31535706,"2,26",31535706,"2,45",154738635,"22,50",154738635,"9,00",103159090,"4,50",103159090,"4500,00",103159090,"23,50",154738635,"8,8",,
47,402320450,"5,6",13465746,46,15389424,"15,8",38473561,"2,31",38473561,"2,48",201160225,"23,00",201160225,"9,20",134106817,"4,60",134106817,"4600,00",134106817,"24,00",91561322,"9,0",,
48,523016585,"5,7",16428211,47,18775098,"16,1",46937744,"2,36",46937744,"2,51",261508293,"23,50",261508293,"9,40",174338862,"4,70",174338862,"4700,00",174338862,"24,50",119029719,"9,2",,
49,679921561,"5,8",20042417,48,22905619,"16,4",57264048,"2,41",57264048,"2,54",339960780,"24,00",339960780,"9,60",226640520,"4,80",226640520,"4800,00",226640520,"25,00",154738635,"9,4",,
50,883898029,"5,9",24451749,49,27944855,"16,7",69862139,"2,46",69862139,"2,57",441949014,"24,50",441949014,"9,80",294632676,"4,90",294632676,"4900,00",294632676,"25,50",201160225,"9,5",,
51,1149067438,"6,0",29831133,50,34092724,"17,0",85231809,"2,51",85231809,"2,60",574533719,"25,00",574533719,"10,00",383022479,"5,00",383022479,"5000,00",383022479,"26,00",261508293,"9,7",,
52,1493787669,"6,1",36393983,51,41593123,"17,3",103982807,"2,56",103982807,"2,63",746893834,"25,50",746893834,"10,20",497929223,"5,10",497929223,"5100,00",497929223,"26,50",339960780,"9,9",,
53,1941923970,"6,2",44400659,52,50743610,"17,6",126859025,"2,61",126859025,"2,66",970961985,"26,00",970961985,"10,40",647307990,"5,20",647307990,"5200,00",647307990,"27,00",441949014,"10,0",,
,,,,,,,,,,,,,,,,,,,,,,,,
,8414993868,,246213880,,281387292,,703468229,,703468229,,4207496934,,4207496934,,2804997956,,2804997956,,2804997956,,2280437072,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,27179519234,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1K,"1,5M",1,,,,,,,,,,,,,,,
